3/27/2020,ME,168,,,13,,1,,,1,,3/26/2020 16:22,Agree,N/A
3/28/2020,ME,211,,,43,,1,,,0,,3/28/2020 16:22,Agree,N/A
3/29/2020,ME,253,,,42,,3,,,2,,3/28/2020 16:22,Agree,N/A
3/30/2020,ME,303,,,50,,5,,,2,,3/29/2020 16:22,Agree,N/A
3/31/2020,ME,303,,,0,,5,,,0,,3/30/2020 16:22,Agree,N/A
4/1/2020,ME,344,,,41,,7,,,2,,3/31/2020 16:22,Agree,N/A
4/2/2020,ME,376,,,32,,7,,,0,,4/1/2020 16:22,Agree,N/A
4/3/2020,ME,432,,,56,,9,,,2,,4/3/2020 16:22,Agree,N/A
4/4/2020,ME,456,,,24,,10,,,1,,4/3/2020 16:22,Agree,N/A
4/5/2020,ME,470,,,14,,10,,,0,,4/4/2020 16:22,Agree,N/A
4/6/2020,ME,499,,,29,,10,,,0,,4/5/2020 16:22,Agree,N/A
4/7/2020,ME,519,,,20,,12,,,2,,4/7/2020 16:22,Agree,N/A
4/8/2020,ME,537,,,18,,14,,,2,,4/7/2020 16:22,Agree,N/A
4/9/2020,ME,560,,,23,,16,,,2,,4/8/2020 16:22,Agree,N/A
4/10/2020,ME,583,,,23,,17,,,1,,4/9/2020 16:22,Agree,N/A
4/11/2020,ME,616,,,33,,19,,,2,,4/10/2020 16:22,Agree,N/A
4/12/2020,ME,633,,,17,,19,,,0,,4/11/2020 16:22,Agree,N/A
4/13/2020,ME,698,,,65,,19,,,0,,4/12/2020 16:22,Agree,N/A
4/14/2020,ME,734,,,36,,20,,,1,,4/13/2020 16:22,Agree,N/A
4/15/2020,ME,770,,,36,,24,,,4,,4/15/2020 16:22,Agree,N/A
4/16/2020,ME,796,,,26,,27,,,3,,4/16/2020 16:22,Agree,N/A
4/17/2020,ME,827,,,31,,29,,,2,,4/17/2020 16:22,Agree,N/A
4/18/2020,ME,847,,,20,,32,,,3,,4/18/2020 16:22,Agree,N/A
4/19/2020,ME,867,867,0,20,0,34,,,2,0,4/19/2020 16:22,Agree,N/A
4/20/2020,ME,875,875,0,8,0,35,,,1,0,4/20/2020 16:22,Agree,N/A
4/21/2020,ME,888,888,0,13,0,36,,,1,0,4/21/2020 16:22,Agree,N/A
4/22/2020,ME,907,907,0,19,0,39,,,3,0,4/22/2020 16:22,Agree,N/A
4/23/2020,ME,937,937,0,30,0,44,,,5,0,5/25/2020 15:38,Agree,N/A
4/24/2020,ME,965,965,0,28,0,47,,,3,0,5/25/2020 15:38,Agree,N/A
4/25/2020,ME,990,990,0,25,0,50,,,3,0,5/25/2020 15:38,Agree,N/A
4/26/2020,ME,1023,1005,18,33,18,50,,,0,0,5/25/2020 15:38,Agree,N/A
